,Datetime,Favorites,Text
0,2020-06-12 23:57:39+00:00,1100,Who in the USA is concerned about climate change? 49% of Whites 57% of Blacks 70% of Latinx Imagine what would be possible if POC didn’t have to deal with racism and could devote that energy to #ClimateSolutions... @ClimatePower #BlackLivesMatter 
1,2020-06-12 23:45:16+00:00,153,The @CalAthletics family stands together. #BlackLivesMatter
2,2020-06-12 23:26:44+00:00,348,It’s true. Having tens of thousands of people march together in complete silence is powerful. Incredibly powerful. #BlackLivesMatter #Seattle #seattleprotests
3,2020-06-12 23:22:09+00:00,1081,Seattle’s #BlackLivesMatter silent march this afternoon. 
4,2020-06-12 23:16:44+00:00,433,This is America. #blacklivesmatter 
5,2020-06-12 23:15:05+00:00,23285,Seattle #BlackLivesMatter march may be one of the largest marches I’ve seen in this city. 
6,2020-06-12 23:14:58+00:00,172,"As far as the eye can see. @SeattleBLM says 60,000 of us: wet, masked &amp; determined. #Seattleprotests #BlackLivesMatter "
7,2020-06-12 23:14:40+00:00,376,Seattle Silent March #BLMSeattle #BlackLivesMatter 
8,2020-06-12 22:34:35+00:00,569,"Today at the @BLMSeattleKC silent march, community walks to abolish the school to prison pipeline, end biased policing, and undo centuries of systemic racism in our country. The march may be silent, but the message is loud and clear: #blacklivesmatter "
9,2020-06-12 22:32:20+00:00,1685,A silent sea of umbrellas and signs as #blacklivesmatter moves down Madison 
10,2020-06-12 22:28:14+00:00,10718,"“We move, together, in silence” #BlackLivesMatter #BLM #blmseattle #seattle"
11,2020-06-12 22:24:42+00:00,39,"The Democrats strategy for the past two Presidential election years: Bring out #BlackLivesMatter and #AntifaTerrorist, riot, tear down Confederate statues, demonize police, rig Democrat primary, lose to @realDonaldTrump"
12,2020-06-12 22:20:47+00:00,41135,Thousands and thousands silently marching from Judkins Park during an official #BlackLivesMatter #Seattle march. No end in sight
13,2020-06-12 22:09:02+00:00,3780,"A heavily armed man with a Nazi tattoo who tried to march with Las Vegas police at a #BlackLivesMatter protest is facing a felony charge of impersonating an officer. He had an AR-15, a Glock with an extended magazine, a Taser, and pepper spray. #nvleg"
14,2020-06-12 22:02:28+00:00,1519,"Smh, it doesn’t stop huh? Prayers for Michael Thomas & his family! #BlackLivesMatter "
15,2020-06-12 21:59:52+00:00,242,"""Avoid saying 'All Lives Matter' or projecting any similar message​."" An online ""boogaloo"" group coached members on how to co-opt #BlackLivesMatter protests for their own extremist agenda. Nice reporting here from @LCRWnews."
16,2020-06-12 21:58:27+00:00,2525,"It seems like we're seeing less footage of protests, even though just as many are happening. So here's a thread of #BlackLivesMatter protests happening today, or even right now. First, right now in Seattle "
17,2020-06-12 21:51:47+00:00,865,#seattle rain can't stop the thousands marching toward Madison Park for #blacklivesmatter 
18,2020-06-12 21:39:22+00:00,224,There ya bloody have it. #BlackLivesMatter 
19,2020-06-12 21:22:07+00:00,22193,"I don’t know who needs to hear this, but nearly all your donations to #BlackLivesMatter are being used to help white people Don’t you just love the Democrat Party?"
20,2020-06-12 23:44:27+00:00,488,"An estimated 60.000 people marching silently in Seattle today Sorry, image credit is lost from multiple reposts :( #seattleprotest #seattleprotests #protests2020 #BlackLivesMatter "
21,2020-06-12 23:44:26+00:00,32,Don’t get defensive. Take a step back and really be honest with yourself. #BlackLivesMatter 
22,2020-06-12 23:16:37+00:00,9,#BlackLivesMatter they are finally starting to scratch their heads lol 
23,2020-06-12 23:06:11+00:00,4446,"Let’s continue the fight and stay safe! If you are in CA, NY or DC and don’t have insurance contact my partners @HealApp using code BLM2020. They are giving away 750 free telemedicine appointments til 6/15. #BlackLivesMatter #BLM"
24,2020-06-12 22:57:08+00:00,176,You can find several action items here in support of #BlackLivesMatter 
25,2020-06-12 22:55:00+00:00,1135,#BlackLivesMatter is a hateful ideology that fuels violent anti-police sentiment. 
26,2020-06-12 22:54:54+00:00,23,These are the people ruling Nigeria and their ideology! Umu one Nigerian efulefu's have u seen yourselves? Happy Hypocrisy Day! #FreeBiafra #unitybyforceisSlavery #StandUp4HumanRights #StopChristankillingsInNigeria #BlackLivesMatter #ChristianLivesMatter #BiafranLivesMatter 
27,2020-06-12 22:47:28+00:00,1103,It’s cold and rainy in #Seattle right now so this work is especially appreciated. #blmseattle #seattleprotest #BlackLivesMatter 
28,2020-06-12 22:39:44+00:00,563, : Seattle is amazing. Thousands of #BlackLivesMatter protestors silently marched from Judkins Park through the pouring rain. Endless amount of people and commitment. #seattleprotests #GeorgeFloydProtests
29,2020-06-12 22:30:45+00:00,1022,"Pre game today, the players of the South Sydney Rabbitohs, game day officials and our Gold Coast opponents will take a knee. Officially sanctioned by the @NRL . United. #BlackLivesMatter #StopBlackDeathsInCustody Take a knee with us and send your pics to @SSFCRABBITOHS. SSTID"
30,2020-06-12 22:11:02+00:00,184,Don’t stop. It’s working. #DefundThePolice #BlackLivesMatter 
31,2020-06-12 22:01:33+00:00,1736,"Not all Trump supporters are Racist, but all of them decided that Racism & many sexually Abused women isn’t a Deal Breaker. #BlackLivesMatter "
32,2020-06-12 22:00:08+00:00,20,PROTECT BLACK TRANS PEOPLE #BlackTransLivesMatters #BlackLivesMatter 
33,2020-06-12 21:42:05+00:00,16,Happy Hypocrisy Day Nigeria! #FreeBiafra! #BlackLivesMatter #ChristianLivesMatter #BiafranLivesMatter #SupportBiafraReferendum #unitybyforceisSlavery #StopBiafraOppressions #StopBiafraKillings #StopChristankillingsInNigeria #SayNoToWar #StopTribalApartheidInNigeria
34,2020-06-12 21:34:11+00:00,388,Israel views #BlackLivesMatter as an existential threat to its system of apartheid and oppression over the Palestinian people and black Jews. My latest for @InsideArabia.
35,2020-06-12 21:28:22+00:00,1458,Keep it up. #BlackLivesMatter 
36,2020-06-12 21:23:46+00:00,304,It's #pride month and this is what the federal government delivers to the #lgbtqia+ community #transrightsarehumanrights #BlackTransLivesMatter #blacklivesmatter 
37,2020-06-12 21:18:51+00:00,809,God put me here for a reason! Best organization in Sports!!! #BlackLivesMatter 
38,2020-06-12 21:13:09+00:00,1985,TELL EM KING!! SHARE SHARE SHARE #JUSTICEFORROBERTFULLER #BLACKLIVESMATTER 
39,2020-06-12 21:01:18+00:00,4438,WHO ARE YOU Talking to? WHAT ARE YOU SIGNIFYING?? that you can kneel (hands in pockets) on a man’s neck for 8:46 and feel like you wouldn’t get the wrath of GOD? #DaveChappelle846 #GeorgeFloyd #BlackLivesMatter 
40,2020-06-12 23:31:17+00:00,1265,"Some perspective for anyone who believes that ""they took over Seattle"" #blmseattle #blacklivesmatter #protests2020"
41,2020-06-12 23:21:04+00:00,155,We’re committed to continuing our support for #BlackLivesMatter and organizations fighting for racial equality and justice. We’re donating directly to organizations and maximizing the many contributions of our employees in order to more concretely support the movement.
42,2020-06-12 22:35:41+00:00,10,#Wsumustfall #BlackLivesMatter #BladeNzimande No Data No Laptops No Going back to Campus
43,2020-06-12 22:32:58+00:00,729,"it's a movement, not a moment. #BlackLivesMatter "
44,2020-06-12 22:30:24+00:00,1427,"Wow. Over 1,000 cyclists in Brooklyn right now about to launch a #BlackLivesMatter bike protest. "
45,2020-06-12 22:22:04+00:00,22,I honestly can’t get over that y’all really thinking BLM is a damn trend and still ignoring deaths and murder and violence from cops. What’s not clicking in ya heads from all this? You were all just here posting and using it & now it’s gone. I’ll continue #BlackLivesMatter 
46,2020-06-12 22:18:18+00:00,2199,Seattle really stepped up their game with the #BlackLivesMatter movement by creating a community that’s thriving with people supporting cause &amp; educating the people in the safe &amp; peaceful zone. So proud of my city #SeattleAutonomousZone #seattleprotest #blmseattle #CHAZ pic.twitter.com/u5JoySTaAT
47,2020-06-12 22:13:22+00:00,526,"I wanted to share the full version of my @SINow interview in which I discuss my support for the #BlackLivesMatter movement as well as how the current policing and criminal justice system does not help people, it hurts people. Article: https://www.si.com/wrestling/2020/06/12/wwe-mustafa-ali-police-brutality-black-lives-matter"
48,2020-06-12 22:08:25+00:00,43,"""If anything they’re protecting and serving themselves,"" said the 17-year-old who put water out for #BlackLivesMatter demonstrators in Des Moines' East Village. A video shows police taking the water about a minute before protesters march by. "
49,2020-06-12 22:03:13+00:00,98,"My father fought in WW2 for the same reasons, to stop right wing tyranny, racism and fascism. So everyone had the right to free speech. Respect. #BlackLivesMatter"
50,2020-06-12 21:58:44+00:00,132,LIVE: #BlackLivesMatter protesters continue to march through Miami. (Note: No sound from helicopter.) 
51,2020-06-12 21:47:23+00:00,24,#BlackLivesMatter posters for home school 
52,2020-06-12 21:15:58+00:00,385,"""Know that freedom isn’t free” ⁣⁣ -@YoungDylan #BlackLivesMatter "
53,2020-06-12 21:08:03+00:00,247,Palestinians stand in solidarity with Black Americans We support calls such as those by Minneapolis organizers to divest from militarism and policing and instead invest in community-led health and safety. #BlackLivesMatter 
54,2020-06-12 21:00:07+00:00,825,.@Camila_Cabello urges fans to keep fighting. #BlackLivesMatter 
55,2020-06-12 20:51:49+00:00,5946,so the celebs created a whole ass organization/hashtag to co-opt #BlackLivesMatter &amp; make it about themselves as they always do. apparently i must hold the police accountable for my racist jokes pic.twitter.com/ehN0Q8oSM4
56,2020-06-12 20:48:10+00:00,499,Please stay at home this weekend. I've received information from around the world from the USA to Australia about protestors who have sadly been diagnosed with #COVID19 after attending #BlackLivesMatter protests. We must not let that happen in London. @BBCLondonNews
57,2020-06-12 20:46:42+00:00,105182,"I don’t understand why we’re not hearing about these events. This #BlackLivesMatter march in San Francisco yesterday was all healthcare workers! An amazing protest, no coverage. "
58,2020-06-12 20:44:15+00:00,12,pictures can speak louder then words . #BlackLivesMatter 
59,2020-06-12 20:32:44+00:00,584,We can only do this ᴛᴏɢᴇᴛʜᴇʀ. #BlackLivesMatter #GigEm
60,2020-06-12 23:16:33+00:00,24,YALL HE WAS MURDER IN FEOMT OF A POLICE STATION AND THEY ARE STAYING ITS A SUCIDE BLOW THIS SHIT UP #blm #blacklivesmatter pic.twitter.com/WzIJJucuFl
61,2020-06-12 23:07:56+00:00,0,WHO SHUT SHIT DOWN! #BlackLivesMatter #DefundPolice pic.twitter.com/7ujJiVEk6O
62,2020-06-12 23:05:34+00:00,0,Proud of the youth #WallingfordCT #ResignFishbein #BlackLivesMatter pic.twitter.com/JPNNZRV1AG
63,2020-06-12 22:33:14+00:00,72,"Thousands of folks marching silently, side-by-side, in pouring rain. #BlackLivesMatter #seattleprotests"
64,2020-06-12 22:30:37+00:00,96,100% of profits will be donated! available tomorrow at 7pm est #BlackLivesMatter 
65,2020-06-12 22:27:49+00:00,4,"Saw this on FB, can anyone confirm this is real? #BlackLivesMatter #GeorgeFloyd #domesticabuse"
66,2020-06-12 22:02:24+00:00,1,We stronger Together #BlackLivesMatter 
67,2020-06-12 21:58:13+00:00,2763,"You're an idiot. It was a joke that YOU chose to get offended by and now you're virtue signaling the #BlackLivesMatter movement so you don't look like even more of an idiot. Also, I guarantee I have donated more money than you. "
68,2020-06-12 21:54:01+00:00,20,"Donations, Including International Funding, to http://BlackLivesMatter.com Go Directly to the DNC - This Is Money Laundering https://www.thegatewaypundit.com/2020/06/exclusive-donations-including-international-funding-blacklivesmatter-com-go-directly-dnc-money-laundering/ #BlackLivesMatter #Riots"
69,2020-06-12 21:20:16+00:00,5,"Tom Boyd, proving racists on Facebook wrong with a simple google search since 2020. #BlackLivesMatter #BlackLivesMattterUK"
70,2020-06-12 21:19:26+00:00,634,"Something has changed on Pine St, but I can’t quite figure out what it is... Let me know if you spot it? Videos: Top @chaseburnsy Bottom @kylekotajarvi #seattle #seattleartists #chaz #blacklivesmatter #autonomouszone #seattleprotest"
71,2020-06-12 21:01:45+00:00,650,Man harasses store owner for having a #BlackLivesMatter poster on her business window. He spits on her storefront window. 
72,2020-06-12 20:30:39+00:00,1254,We did it. With a vote of 52-13 the Colorado House of Representatives just passed #SB217 Law Enforcement Integrity Act with broad bipartisan support. Next stop: Governor’s desk! #BlackLivesMatter 
73,2020-06-12 20:30:20+00:00,0,Langston Hughes #BlackLivesMatter 
74,2020-06-12 20:23:50+00:00,86,#blacklivesmatter need be around as long as sco pa tu mana &amp; bomboclaat
75,2020-06-12 20:22:26+00:00,0,What the actual fuck #BlackLivesMatter pic.twitter.com/guugb4tPQ0
76,2020-06-12 20:22:13+00:00,19,Franchise x Fuck 12 tees #BlackLivesMatter pic.twitter.com/tR2TCyVFEr
77,2020-06-12 20:21:32+00:00,57,"Robert was my age, 23 years old, found dead hanging from a tree in a park in Palmdale in 2020. KEEP PROTESTING, NO JUSTICE. NO PEACE! #NoJusticeNoPeace #BlackLivesMatter #JusticeforRobertFuller"
78,2020-06-12 22:54:38+00:00,0,This needs a reboot #BlackLivesMatter 
79,2020-06-12 22:30:42+00:00,0,This is why you shouldn’t let your girl go to #BlackLivesMatter protests 
80,2020-06-12 22:25:42+00:00,36,“Beat the odds do numbers and remain humble” :RichxShoots #BlackLivesMatter #hbcugrad #MilesCollege 
81,2020-06-12 22:11:11+00:00,4,hudson is really sick of racism and u all should b 2 #BlackLivesMatter 
82,2020-06-12 22:09:51+00:00,108,"This is why I love #Seattle. Please ignore the hype about what the news is saying, it’s all love here. #Seattlechaz #BlackLivesMatter Here's What Domestic Terrorists Ravaging Seattle Looked Like June 11th, ... https://youtu.be/RyD9CgA3UKI via @YouTube"
83,2020-06-12 21:57:41+00:00,10,A reckoning is overdue. #BlackLivesMatter 
84,2020-06-12 21:43:08+00:00,89,saw this vid of these little kids chanting black lives matter and it made my whole 2020 #BlackLivesMatter pic.twitter.com/VYfB7OmgOG
85,2020-06-12 21:40:48+00:00,1,Black is sexy period #blackgirlmagic #BlackLivesMatter #brownskingirl pic.twitter.com/fOk4xw7PiM
86,2020-06-12 21:31:26+00:00,146,"Tonight’s question , will Sturgeon and the SNP hi jack the #BlackLivesMatter protests to erase Brittish history in Scotland ?"
87,2020-06-12 21:27:46+00:00,76,hi friends! Please sign these petitions that have not met their goal yet. #BlackLivesMatter 
88,2020-06-12 20:32:54+00:00,8,Powerful ! #DaveChappelle846 #BlackLivesMatter 
89,2020-06-12 20:16:49+00:00,3063,"For the next 3 days, support #BlackLivesMatter AND your gaming. 1,000+ indie devs bundled their games for donations to support @NAACP and Community Bail Fund. Pushing for racial equality? Helping small game studios? 1,000 new games? It's a win-win-win!"
90,2020-06-12 20:15:47+00:00,1557,The world is with US #BlackLivesMatter 
91,2020-06-12 20:10:23+00:00,312,Exhibit A - This is what systemic Institutional racism looks like. Watch closely and learn. #BlackLivesMatter 
92,2020-06-12 20:09:12+00:00,365,"It is on all of us to make change. Thank you Taylor for using your platform. We must continue donating, pushing politicians for change, signing petitions, learning, and demanding justice. #BlackLivesMatter"
93,2020-06-12 20:04:09+00:00,27,This is well said #BLM #BlackLivesMatter 
94,2020-06-12 19:58:30+00:00,23,"We're fighting against racism, facism and tyranny, while our opponents are fighting against science, the free press and elimination of privilege. Somebody's going to look pretty f$cking silly in 20 years. #BlackLivesMatter #Resistance #VoteTrumpOut"
95,2020-06-12 20:18:25+00:00,687,#JusticeforRobertFuller lynching still happening in 2020. When will there be change? #BlackLivesMatter 
96,2020-06-12 20:02:48+00:00,77,Say Their Names #BlackLivesMatter 
97,2020-06-12 20:01:46+00:00,600,To anyone planning to join #BlackLivesMatter protests: for you and your families safety please stay at home and find a safe way to make your voice heard. To the extreme far-right groups hijacking this crucial cause: Londoners have no time for your hatred. 
98,2020-06-12 19:57:50+00:00,24,I’m not playing games anymore. WHAT THE FUCK #Palmdale #BlackLivesMatter pic.twitter.com/v2hbh9JVbe
99,2020-06-12 19:57:35+00:00,313, #BlackLivesMatter #StAlbans peaceful protest social distancing patrolled by volunteer wardens face coverings worn by most passionate speeches #BlackLivesMatter 
100,2020-06-12 19:52:15+00:00,14,This idea is NOT dead!! #BlackLivesMatter #BlackVotesMatter
101,2020-06-12 19:50:12+00:00,23,This is disgusting #BLM #BlackLivesMatter 
102,2020-06-12 19:49:45+00:00,2,Dont let the media confuse you #BlackLivesMatter 
103,2020-06-12 19:49:08+00:00,194,"We, the players, stand together with the singular objective of eradicating racial prejudice wherever it exists, to bring about a global society of inclusion, respect, and equal opportunities for all, regardless of their colour or creed. #BlackLivesMatter pic.twitter.com/6RftrRMyfS"
104,2020-06-12 19:48:43+00:00,4026,This new ad from @JoeBiden is #BunkerBoyTrump #BunkerBoy #BlackLivesMatter 
105,2020-06-12 19:48:06+00:00,119,I’ve added some colour to my #BlackLivesMatter drawings 
106,2020-06-12 19:41:20+00:00,2,Are you actually Talking about Tucker Carson???? Not true Pure Racist! #BlackLivesMatter #BlackTransLivesMatter
107,2020-06-12 19:40:19+00:00,0,It's about f**king time these cartoon supremacists owned up to their oppressive history and right the wrongs #BlackLivesMatter pic.twitter.com/kVgW6YMqWA
108,2020-06-12 19:38:00+00:00,48,"Robert Fuller, A BLACK MAN, was found hanging from a tree in front of City Hall yesterday morning in my hometown Palmdale, CA. They are trying to call this a suicide when we all know what this was!!! We won’t be silenced, WE NEED JUSTICE! #JusticeforRobertFuller #BlackLivesMatter "
109,2020-06-12 19:37:14+00:00,17,"#BlackLivesMatter is not a joke, nor #HongKongerLivesMatter HKPF have shown the world how they mistreated human lives for the past one year and now mocking BLM to prove their ignorance. #StandWithHongKong"
110,2020-06-12 19:36:37+00:00,364,"BROTHERHOOD: And who the suit fit, let them wear it #BlackLivesMatter "
111,2020-06-12 19:35:48+00:00,1,Who likes my new outfit? #imvu #imvuavi #BlackLivesMatter 
112,2020-06-12 19:30:28+00:00,1,This is Amerikkka #BlackLivesMatter 
113,2020-06-12 19:29:44+00:00,2,What’s not clicking?? #BlackLivesMatter 
114,2020-06-12 19:29:29+00:00,0,"Anyways, let’s start out with this . The American Cop system is fucked for centuries for people of color. That’s it, it needs to change. America created pigs rather than hero’s. Not buts, no one deserves to die because of their skin color. #BlackLivesMatter pic.twitter.com/5AHvLg70tt"
115,2020-06-12 19:21:03+00:00,475,If People really cared about #BlackLivesMatter they’d be asking Joe Biden to step aside. Joe Biden has probably hurt more Black lives than anyone else in over a generation with his 94’ Crime Bill.
116,2020-06-12 19:20:07+00:00,690,Mariah Carey postponed her #MC30 anniversary celebration surprises to to focus on the #BlackLivesMatter movement. 
117,2020-06-12 19:12:57+00:00,24,"They should use ""kick out racism"" not #BlackLivesMatter . Unfortunately #BLM is more than just and anti racism group. If you read their website, they want to dismantle police and bring down government's, using violence. Let's focus on the Racism element, which needs ending."
118,2020-06-12 19:06:37+00:00,4,Feel free to topple this fucker! #BlackLivesMatter pic.twitter.com/t29MojxQaO
119,2020-06-12 19:04:18+00:00,0,Digital Mirage Online EDM festival. Tune in and donate to @eji_org and @ColorOfChange #BlackLivesMatter 
120,2020-06-12 19:00:17+00:00,3783,"Come through on Sunday for the @InsecureHBO Season 4 finale event, featuring a Q&amp;A with me and @YvonneOrji and a performance by @Miguel! @HBO will be supporting #BlackLivesMatter and we encourage you to do the same. "
121,2020-06-12 18:47:52+00:00,450,#BlackLivesMatter: Forced sterilizations took place illegally for years in California’s prisons. @BOTBfilm takes a look at the devastating eugenics movement that is targeting vulnerable women: https://bit.ly/2XVv1KD.
122,2020-06-12 18:45:05+00:00,2487,"""I think the concept of chokeholds sounds so innocent, so perfect."" Donald Trump 12 June 2020 FACT: This is the language of a sadist and a sociopath/psychopath. #BlackLivesMatter"
123,2020-06-12 18:39:46+00:00,6,#BlackLivesMatter #AllLivesMatter Condoleezza Rice: Don't sanitize history by taking down monuments -
124,2020-06-12 18:31:48+00:00,4164,It’s not just the U.S. that refuses to stop protesting for Black Lives. This is the #BlackLivesMatter protest in London right now 
125,2020-06-12 18:23:34+00:00,234,Dominique “Rem’mie” Fells is believed to be at least the 13th violent death of a transgender or gender non-conforming person in America this year #BlackLivesMatter #BlackTransLivesMatter #NOH8 http://bit.ly/2MSPZUe
126,2020-06-12 18:10:05+00:00,1218,Aerial view of the freshly painted #BlackLivesMatter mural on Seattle's Pine Street. http://rddt.co/pj9F50A6p35 via r/Seattle
127,2020-06-12 17:52:38+00:00,741,"The #HKPolice kneed a Pakistani to death just a little over a month ago, exactly like what happened to George Floyd. Yet they had the shamless audacity to mock the #BlackLivesMatter movement and think that they are better and more professional. "
128,2020-06-12 17:39:43+00:00,5839,"We, the Players, stand together with the singular objective of eradicating racial prejudice wherever it exists, to bring about a global society of inclusion, respect, and equal opportunities for All, regardless of their colour or creed. #blacklivesmatter #playerstogether pic.twitter.com/4JZW55s94U"
129,2020-06-12 17:28:25+00:00,1715,"the fact that Selena Gomez’s album Rare is free falling because of lack of promo, but instead of promoting it, she’s using her platform to support the #BlackLivesMatter movement..Idk a better person! Bless her humbled heart. pic.twitter.com/APbRbvaSMc"
130,2020-06-12 17:27:33+00:00,592,"BREAKING: Premier League to replace player names with 'Black Lives Matter' on jerseys for opening 12 games of restart, all 20 clubs will wear #BlackLivesMatter logo on shirt + #PL will support players who take a knee. Full details &amp; statement "
131,2020-06-12 17:27:19+00:00,1754,"The extreme far-right want to hijack the Black Lives Matter protests and distract from this crucial cause. We must not give them the oxygen they crave, or lose this chance of fundamental and far-reaching change. @MetroUK #BlackLivesMatter "
132,2020-06-12 17:16:41+00:00,4484,The leadership from Troy and Wes Morgan in driving this forward with the support of their fellow players and the Premier League's leadership cannot be understated. We proud of you and everyone that made this happen!!! @T_Deeney @Wes5L1nk #BlackLivesMatter #PlayersTogether
133,2020-06-12 17:11:51+00:00,732,"Here is Nuchallenger LLC's statement on the games industry and its collectively empty showing of ""solidarity"" and ""support"" for Black life. #BlackLivesMatter "
134,2020-06-12 17:06:03+00:00,2049,"We just finished our meeting with @IAGovernor. After urging her to sign an executive order to restore voting rights to all Iowans, she committed to having the order drafted for us to review when we meet with her again on Monday morning. #BlackLivesMatter"
135,2020-06-12 19:00:07+00:00,137,Healthcare workers in SF #BlackLivesMatter #DefundThePolice
136,2020-06-12 18:57:12+00:00,13,Denver Police maced it's citizens last night in front of the capitol; breaking a bullshit restraining order. Stay safe out there! #DenverProtest #blacklivesmatter #DefundThePolice pic.twitter.com/lEkZYakgaZ
137,2020-06-12 18:23:54+00:00,80,Stay tuned for our upcoming special report - on the true agenda of #BlackLivesMatter. It's not what you think. 
138,2020-06-12 18:15:01+00:00,94,Donate and share!! #BlackTransLivesMatter #BlackLivesMatter 
139,2020-06-12 17:52:12+00:00,222,I think some y’all need this. #Blm #blacklivesmatter 
140,2020-06-12 17:43:20+00:00,0,Peaceful protesting #BlackLivesMatter 
141,2020-06-12 17:34:29+00:00,12,Forevermore. #BlacklivesMatter 
142,2020-06-12 17:05:53+00:00,8940,"We, the Players, stand together with the singular objective of eradicating racial prejudice wherever it exists, to bring about a global society of inclusion, respect, and equal opportunities for All, regardless of their colour or creed. #blacklivesmatter #playerstogether pic.twitter.com/7spFcXewqr"
143,2020-06-12 17:05:06+00:00,147,"The armed guys who feared the ""antifa buses"" got all the attention, but Klamath Falls' #BlackLivesMatter protests are STILL GOING and a big one is planned for Sunday. This town is not a monolith. "
144,2020-06-12 17:02:02+00:00,226,We agree. We must end the war on Black people. We must divest from & demilitarize the police and invest in Black communities. #BlackLivesMatter 
145,2020-06-12 17:00:19+00:00,1201,Blue Peter addressing #BlackLivesMatter and white privilege for young audiences. Proud to be badge holder 
146,2020-06-12 16:56:34+00:00,35,RIP #blacklivesmatter lynched smh :( #JusticeforRobertFuller pic.twitter.com/6oh6VAXqSw
147,2020-06-12 16:55:53+00:00,1,"Expenditures for #BlackLivesMatter! Give to your churches or directly to a person! THIS org does NOT care about its community and IS the system!!! All goes to old white men! How ironic! But, hey #BLM unless you are alive!"
148,2020-06-12 16:35:25+00:00,152,No matter where you land on #blacklivesmatter it is important for us to teach the history of our country in its full Gavin Williamson MP: Teach British children about the realities of British Imperialism and Colonialism - Sign the Petition! http://chng.it/qsyRP6p5 via @UKChange
149,2020-06-12 16:23:18+00:00,177,"Octavia Spencer won an Oscar for her role in the 2011 film “The Help."" As #BlackLivesMatter protests took place across the country, the film became one of Netflix’s most popular movies, the streaming platform said "
150,2020-06-12 16:21:18+00:00,1,New Podcast episode up! #BlackLivesMatter 
151,2020-06-12 16:20:52+00:00,108,"This is what the marching, protest and rioting are all about. #BlackLivesMatter "
152,2020-06-12 16:15:25+00:00,1990,I told my publicist if I get any request to do anything for Pride and it doesn’t include #BlackLivesMatter or they haven’t said anything about the movement...I’m not doing it!
153,2020-06-12 16:11:19+00:00,147,"NEW: A coalition of Black political consultants say they've been systemically excluded from campaign work by major Democratic groups in Washington state, even as many of the state's top Democrats proclaim #BlackLivesMatter. https://crosscut.com/2020/06/black-consultants-accuse-wa-democratic-groups-racism #waleg #waelex"
154,2020-06-12 16:10:15+00:00,5873,DO NOT FORGET THE MISSION! #blacklivesmatter now and always!! 
