,Datetime,Favorites,Text,Retweets
0,2020-06-22 23:59:22+00:00,1602,"Just watched @NASCAR for the first time in my life to see @BubbaWallace . It was an amazing finish, #BubbaWallace best #Talladega ever, and I might be a new fan. They got folks wearing #BlackLivesMatter shirts at a NASCAR race... Wow ",280
1,2020-06-22 23:59:02+00:00,117,NASCAR swapped out confederate flags for #BlackLivesMatter shirts. That’s a W.,14
2,2020-06-22 23:58:35+00:00,144,"Powerful message and image as Bubba Wallace apologizes for not wearing his mask, because he wanted whoever put the noose in his garage to see they can’t take away his smile. Surrounded by fans with #ICantBreathe and #BlackLivesMatter shirts. #GEICO500 #Talladega",27
3,2020-06-22 23:57:33+00:00,1005,Seeing #BlackLivesMatter shirts at Talladega instead of confederate flags is such a welcome and great sight. Chills. ,88
4,2020-06-22 23:55:56+00:00,1228,I never thought I’d see this in the sport in my lifetime. Thank you @BubbaWallace #BlackLivesMatter ,162
5,2020-06-22 23:55:26+00:00,115,If you haven’t fully grasped what’s going and why we’re protesting and keeping the conversation going here’s a glimpse #BlackLivesMatter ,99
6,2020-06-22 23:54:50+00:00,151,Here are some of those youth. Pictured at largest #BlackLivesMatter protest in #yxe. It was stunning to see those young Saskatchewanians lead 4000 people.,17
7,2020-06-22 23:54:01+00:00,2423,#BREAKING: Protesters have opened the fence surrounding the Andrew Jackson statue in Lafayette Square and have climbed on top. I’ve heard them say they’re trying to tear it down. @wusa9 #BlackLivesMatter ,1263
8,2020-06-22 23:52:09+00:00,150,"Such a tragedy! She was a beautiful soul! #OluwatoyinSalau #SayHerName Man Allegedly Admits to Kidnapping, Sexually Assaulting #BlackLivesMatter Activist Before Killing https://people.com/crime/oluwatoyin-salau-killing-suspect-allegedly-confesses-killing-sex-assault/?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=social-share-article",120
9,2020-06-22 23:51:31+00:00,319,Make it make sense. #BlackLivesMatter | @TheRoot,150
10,2020-06-22 23:51:01+00:00,369,"Y’all realized Disney Hipsters isn’t a thing anymore right? If you’re #antitrump, #blacklivesmatter, #translivesmatter and into protecting the earth? This is for you. We’re like 10% Disney at this point.",5
11,2020-06-22 23:50:14+00:00,100,#BlackLivesMatter isn't anti-white. It's pro-black. #TransLivesMatter isn't anti-women. It's pro-transgender.,25
12,2020-06-22 23:49:29+00:00,802,I’ve been saying for years that #BlackLivesMatter is run by a bunch of radical leftist fat lesbians! Here’s proof: WATCH: ‘Black Lives Matter’ Founder: ‘Goal’ Is To Remove Trump; Reveals ‘Marxist’ Ideology ,286
13,2020-06-22 23:47:47+00:00,103,After seeing @ScrapYardFP's tweet a little while ago... I'm wondering if #BlackLivesMatter to them? The only Pro team I've seen take this stance... and having members of @TeamUSA on their squad. Need to know where they stand... and if it's on the right side of THIS history. #BLM,11
14,2020-06-22 23:40:05+00:00,227,This Sikh community in New York City is cooking and giving out free meals to #BlackLivesMatter protesters and those affected by the #coronavirus,82
15,2020-06-22 23:36:40+00:00,303,"I don’t know @BubbaWallace, but I’m sooooo proud of him, and I’m a fan! Big ups to @NASCAR also! It’s incredible that they are on the correct side of history ... and our American president, is NOT! Say it @realDonaldTrump —&gt; #BlackLivesMatter ",50
16,2020-06-22 23:34:40+00:00,242,"Thousands of kids, academics, politicians and mainstream press are cheering on #Communist #blacklivesmatter as they tear down our society. You should be terrified.",76
17,2020-06-22 23:32:34+00:00,365,The last time Fascists flew planes over Manchester the RAF shot them down. Wish they had tonight. #kickitout #BlackLivesMatter ,51
18,2020-06-22 23:21:45+00:00,24618,WHERE IS THE OUTRAGE??? Over a 100 People were shot in Chicago Over the weekend. 14 killed 3 year old and 4 teens were killed. Where is #BlackLivesMatter ? Where are the Protests &amp; Riots for these people ? WHERE IS CNN? WHERE ARE THE CELEBRITIES? ,12759
19,2020-06-22 23:15:45+00:00,237,#BlackLivesMatter ISNT JUST A MOMENT ITS A MOVEMENT ! ,56
20,2020-06-22 23:59:31+00:00,144,I’m 50 today! I lost more followers than gained! Thought I was upset but I’m not! I need more followers that believe... #BlackLivesMatter!! I’m tired of hearing ALL lives matter from white people that have never ASKED a black person about thier experiences!!! #SorryNotSorry!,13
21,2020-06-22 23:56:47+00:00,64,"Tuesday June 23 (still daily), 5 - 8p Atlanta Line of solidarity in front of olympic rings at Centennial Olympic Park across from 135 Andrew Young Intl Blvd NW See retweet for demands, details Bring mask, signs, water, empty bladder #BlackLivesMatter #AtlantaProtests",48
22,2020-06-22 23:56:21+00:00,39,"It seems that #FirstNations lives still don’t matter in WA A WA police officer who dragged a handcuffed #Indigenous boy on to the ground, causing his head to hit the pavement, escaped any sanction over the incident #BlackLivesMatter #PoliceBrutality",52
23,2020-06-22 23:55:08+00:00,54,"(September 2016) Zianna Oliphant, a young girl from NC, testifies to the Charlotte City Council after the shooting death of Keith Lamont Scott #BlackLivesMatter ",20
24,2020-06-22 23:52:13+00:00,52,#Blacklivesmatter guya try to kill a homeless man with fireworks in harlem new york while he sleeps. #blm #newyork #nyc #harlem,32
25,2020-06-22 23:52:08+00:00,42,Summer issue live at http://www.wilpublication.com! From @JuliaGillard @sanditoksvig @afuahirsch @adilray @KateWilliamsme &amp; other influencers we feature unwavering thought leadership/In Focus analysis that provoke positive disruption at a time of great change #BlackLivesMatter #COVID19,22
26,2020-06-22 23:51:54+00:00,51,"Black, Indigenous, and racialized people are dying at the hands of the police. We MUST fundamentally change how we view policing and community health and safety. #onpoli #BlackLivesMatter Read this Document. ",32
27,2020-06-22 23:49:39+00:00,90,5/ A large contingent of the youth leaders at the #BlackLivesMatter protests in #sk were of African origin. #yxe #skpoli #canpoli,5
28,2020-06-22 23:49:25+00:00,66,My podcast: #InSearchOfBlackHistory-@audibleuk-is free. You'll find out how #Lloyds-world's biggest broker-came into being: by insuring slave ships mainly against revolts on board. Largely led by women. Policy title: #InsurrectionOfCargo #blacklivesmatter ,24
29,2020-06-22 23:48:25+00:00,77,"4/ Here is some of the fun info: This rapid growth of the Black population in the Prairies has been driven by immigration, mainly from African countries. #BlackInCanada #skpoli #canpoli #BlackLivesMatter",4
