,Link
0,https://bit.ly/2X5Hw5O
1,https://bit.ly/3d5lwO1
2,https://youtu.be/5EtziM5Yjc4
3,https://youtu.be/9sxUWDMKML0
4,https://bit.ly/KJMyAm
5,https://youtu.be/4AN25lV2xWM
6,http://ow.ly/u5BE50zR01c
7,https://youtu.be/KTWIha_rwEg
8,https://bit.ly/2XGC9Jo
9,https://bit.ly/2XCuqwf
10,https://youtu.be/y6pJI592aZA
11,https://bit.ly/2TLpG6o
12,http://ow.ly/wpjQ50zSTFp
13,https://moms.ly/2TLpbcw
14,https://bit.ly/36DnVNG
15,https://bit.ly/3gwYQbN
16,http://bit.ly/ANTIRACISMRESOURCES
17,https://bit.ly/UnionMembers4GeorgeFloyd
18,https://youtu.be/KBpwIZ3s2qA
19,https://youtu.be/h2Xesxc8DfI
20,https://youtu.be/xJZ_H-9ZLk4
21,https://youtu.be/uvrQxS4_2FQ
22,https://youtu.be/5NO0OcntM5o
23,http://ow.ly/aNhJ50zRQ3v
24,http://bit.ly/2XBgeDt
25,http://bit.ly/3daXilA
26,http://bit.ly/2zC0VCE
27,http://bit.ly/36D9Ek7
28,http://bit.ly/2ZIt2uz
29,http://bit.ly/2yEAtI1
30,http://bit.ly/3daumu6
31,http://bit.ly/2M26P2w
32,http://bit.ly/3gyhIay
33,http://bit.ly/SEARACblm
34,https://youtu.be/PobaUeDO5kk
35,https://youtu.be/gsAaVvV5puU
36,https://youtu.be/gAfZO8aFmVc
37,https://bit.ly/LGBTQ-BLM-letter
38,https://bit.ly/3gDvzMs
39,https://bit.ly/2XIU5TR
40,https://bit.ly/3gAihk2
41,https://bit.ly/2XdL5qH
42,https://bit.ly/2BfNB7v
43,https://youtu.be/sY65PHPsIdA
44,https://bit.ly/36zHMNE
45,https://youtu.be/pQMmMgEpIPA
46,https://bit.ly/InSolidarity
47,https://bit.ly/3dfeaaR
48,https://bit.ly/m4blcall2action
49,https://bit.ly/2AlAVLX
50,https://youtu.be/CQviUzACCag
51,https://bit.ly/asians-dont-call-cops
52,http://bit.ly/3etTAUu
53,https://bit.ly/3ewHs5b
54,http://bit.ly/2TLpG6o
55,https://buff.ly/3d9V7yN
56,https://bit.ly/2ZO9Vzf
57,http://bit.ly/DEFUNDMPD
58,https://youtu.be/PkQiyc5p0T4
59,https://bit.ly/2XK6RRU
60,https://bit.ly/2ZUOI6Z
61,http://bit.ly/honoringfloyd
62,https://bit.ly/2B7fgat
63,https://youtu.be/ryBTggO63wo
64,http://bit.ly/sutrstatement
65,https://youtu.be/PW6uv94kQOg
66,https://youtu.be/pfcBROUFw8k
67,https://bit.ly/2TN4Ljm
68,https://bit.ly/2zwjCI1
69,https://bit.ly/2XauiF8
70,https://bit.ly/2XcXRG3
71,https://bit.ly/3deeCpZ
72,https://youtu.be/Q88Gy2a8ocQ
73,https://youtu.be/87wWueDaAQI
74,https://youtu.be/XncKKZ-nu8w
75,https://youtu.be/NtmZrePFIxc
76,https://bit.ly/JusticeForRegisHFX
77,https://youtu.be/2VpI6Tn9Ljg
78,https://youtu.be/Ec3zuNGobVk
79,https://bit.ly/36EqizP
80,http://bit.ly/blkfreshair
81,https://bit.ly/GaryOwen_Lockdown
82,https://youtu.be/AbDeQfWO6UQ
83,https://bit.ly/2ZKzcdw
84,http://bit.ly/standdownmn
85,https://youtu.be/VE-q42fMyV4
86,https://hubs.ly/H0q-1RH0
87,https://youtu.be/r3yjOG9RwV0
88,http://ow.ly/OSg850zUqQi
89,https://bit.ly/3eBo8Ua
90,http://bit.ly/JusticeForRegisHFX
91,https://youtu.be/gnE2zMkQ8KI
92,https://youtu.be/tvbRz9vmnhA
93,https://youtu.be/khUZFvdFH7k
94,http://bit.ly/2AidVNV
95,https://youtu.be/cESg37OFeso
96,http://bit.ly/2XMTzEi
97,http://bit.ly/3gAihk2
98,http://bit.ly/2XdL5qH
99,http://bit.ly/defundmpd
100,https://bit.ly/2XMTzEi
101,http://bit.ly/3dgPgYC
102,https://youtu.be/dW6Cm1aRSfE
103,https://bit.ly/2TU54sq
104,https://bit.ly/2TVhpge
105,https://youtu.be/Man4Xw8Xypo
106,https://youtu.be/gTaGG2qSZ0o
107,https://bit.ly/3eAy28Q
108,https://bit.ly/3cendYs
109,https://bit.ly/2ZTaPdL
110,https://bit.ly/2Mhd5DD
111,https://bit.ly/3clgpsb
112,https://bit.ly/36OjIa3
113,https://bit.ly/36LWIII
114,https://bit.ly/2Mi3MDy
