,Link,Datetime,Favs,Retweets,Count
0,https://on.vh1.com/30f8El8,2020-06-13 00:00:16+00:00,558,101,1
1,http://nationalbailout.org,2020-06-13 00:00:16+00:00,558,101,1
2,http://RuPaulsDragRace.com/act,2020-06-13 00:02:29+00:00,1933,277,1
3,http://archive.vn/TvJYr,2020-06-13 00:17:42+00:00,242,172,1
4,http://archive.vn/trcG6,2020-06-13 00:21:59+00:00,253,177,1
5,http://archive.vn/C7SRH,2020-06-13 00:32:47+00:00,226,172,1
6,http://archive.vn/yXeOV,2020-06-13 00:32:47+00:00,226,172,1
7,http://archive.vn/sHgKL,2020-06-13 00:32:47+00:00,226,172,1
8,http://archive.vn/FdcS5,2020-06-13 00:34:27+00:00,229,184,1
9,http://archive.vn/YhP9V,2020-06-13 00:34:27+00:00,229,184,1
10,http://archive.vn/FW8Pq,2020-06-13 00:34:27+00:00,229,184,1
11,http://archive.vn/JnQVR,2020-06-13 00:36:01+00:00,391,289,1
12,http://archive.vn/6VRjP#selection-133.0-133.25,2020-06-13 00:36:01+00:00,391,289,1
13,http://archive.vn/3u9do,2020-06-13 00:36:01+00:00,391,289,1
14,http://archive.vn/A2yQj,2020-06-13 00:37:32+00:00,353,270,1
15,http://archive.vn/oXPzY,2020-06-13 00:37:32+00:00,353,270,1
16,http://archive.vn/kussQ,2020-06-13 00:37:32+00:00,353,270,1
17,https://www.local10.com/news/local/2020/06/12/chief-asks-downtown-businesses-to-close-early-amid-miami-protest/?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=snd&amp;utm_content=wplg10,2020-06-13 01:03:15+00:00,133,80,1
18,https://secure.actblue.com/donate/rashidforcongress,2020-06-13 01:44:50+00:00,98,73,1
19,http://theplaguenerdalogues.com/,2020-06-13 02:07:47+00:00,130,19,1
20,https://georgiebc.wordpress.com/2014/04/22/free-will-and-seductive-coercion/,2020-06-13 02:11:07+00:00,1352,106,1
21,https://trib.al/3pVhdTH,2020-06-13 02:17:07+00:00,109,29,1
22,https://buff.ly/2BN7piP,2020-06-13 03:07:03+00:00,24,11,1
23,http://chng.it/trjjpK8m,2020-06-13 03:54:45+00:00,37,37,1
24,http://tl.gd/n_1sr98gk,2020-06-13 04:13:46+00:00,322,44,1
25,https://link.medium.com/CaASwM8vd7,2020-06-13 05:03:24+00:00,55,61,1
26,https://www.thegatewaypundit.com/2018/08/historic-black-business-ownership-under-trump-jumps-400-in-one-year/,2020-06-13 06:28:35+00:00,101,126,1
27,https://www.thedailybeast.com/robert-fuller-was-found-hanging-from-a-tree-residents-say-authorities-were-too-quick-to-deem-it-suicide,2020-06-13 06:36:55+00:00,949,731,1
28,http://blackliveswillalwaysmatter.carrd.co,2020-06-13 06:39:25+00:00,293,131,3
29,http://blmsites.carrd.co,2020-06-13 06:39:25+00:00,293,131,3
30,http://moreblminfo.carrd.co,2020-06-13 06:39:25+00:00,125,79,2
31,http://protesttips.carrd.co,2020-06-13 06:39:25+00:00,91,27,1
32,http://blacklivesmatter.carrd.co,2020-06-13 06:39:25+00:00,91,27,1
33,http://useyourvoice.carrd.co,2020-06-13 06:39:25+00:00,293,131,3
34,http://blm.carrd.co,2020-06-13 06:39:25+00:00,91,27,1
35,http://acabb.carrd.co,2020-06-13 06:39:25+00:00,91,27,1
36,http://saytheirnames.carrd.co,2020-06-13 06:39:25+00:00,259,79,2
37,http://signatures.carrd.co,2020-06-13 06:39:25+00:00,91,27,1
38,http://bit.ly/3hnJ9UH,2020-06-13 07:00:00+00:00,39,15,1
39,https://bit.ly/3dZo6FY,2020-06-13 07:00:06+00:00,74,41,1
40,https://djhjmedia.com/eric/584/,2020-06-13 07:00:48+00:00,34,61,1
41,http://www.bbc.co.uk/iplayer/episode/m000jzxl,2020-06-13 07:02:01+00:00,38,12,1
42,https://m4bl.org/policy-platforms/respect-protestors/,2020-06-13 07:13:47+00:00,29,15,1
43,https://www.eventbrite.co.uk/e/black-lives-matter-we-demand-change-standuptoracism-activists-meeting-tickets-109174770678?ref=estw,2020-06-13 08:53:50+00:00,71,52,1
44,https://aje.io/zswz9,2020-06-13 10:17:09+00:00,275,83,1
45,http://englandnetball.co.uk/netball-against-racism,2020-06-13 11:00:00+00:00,239,92,1
46,https://econ.trib.al/0dRPvgk,2020-06-13 12:00:12+00:00,113,37,1
47,http://BabyNames.com,2020-06-13 12:05:09+00:00,45,17,1
48,https://www.bbc.co.uk/news/uk-53031072,2020-06-13 12:28:19+00:00,103,25,1
49,https://hongkongfp.com/2020/06/13/video-hong-kong-police-rebuke-officer-who-chanted-i-cant-breathe-and-black-lives-matter-on-frontlines,2020-06-13 12:59:04+00:00,457,460,1
50,http://blackyouthproject.com/our-calls-to-action-against-anti-black-state-violence-cannot-be-ableist/,2020-06-13 13:22:33+00:00,169,108,1
51,https://translate.google.com/translate?hl=&amp;sl=sv&amp;tl=en&amp;u=https%3A%2F%2Fnyheteridag.se%2Flarry-elder-black-lives-matter-ar-skadligt-for-usa-och-bygger-pa-en-logn%2F%3Fklkl,2020-06-13 13:59:05+00:00,1132,340,1
52,https://www.alamy.com/news/?4033053,2020-06-13 14:05:14+00:00,127,140,1
53,https://picarto.tv/KitsuneKit,2020-06-13 14:55:30+00:00,266,160,2
54,https://paypal.me/pools/c/8pXhugVZ17,2020-06-13 14:55:30+00:00,266,160,2
55,http://rangercommand.com/ranger-command-power-hour-episode-161/,2020-06-13 15:31:21+00:00,66,47,1
56,https://www.telegraph.co.uk/news/2020/06/13/black-lives-matter-protests-london-statues-racism-churchill/,2020-06-13 15:32:06+00:00,138,84,1
57,https://www.liverpoolecho.co.uk/news/liverpool-news/live-updates-liverpool-black-lives-18415029?123,2020-06-13 15:33:06+00:00,82,17,1
